Territorialidades;IDHM 1991;IDHM 2000;IDHM 2010;IDHM Educação 1991;IDHM Educação 2000;IDHM Educação 2010
Agrestina (PE);0,305;0,436;0,592;0,109;0,237;0,47
Água Fria de Goiás (GO);0,315;0,481;0,671;0,102;0,25;0,55
Alenquer (PA);0,328;0,433;0,564;0,129;0,236;0,436
Alumínio (SP);0,515;0,682;0,766;0,308;0,603;0,732
Anagé (BA);0,191;0,308;0,54;0,031;0,104;0,371
Aracaju (SE);0,545;0,648;0,77;0,379;0,519;0,708
Arapiraca (AL);0,359;0,476;0,649;0,165;0,297;0,549
Augusto Corrêa (PA);0,238;0,335;0,52;0,057;0,117;0,38
Aveiro (PA);0,281;0,368;0,541;0,083;0,17;0,45
Baraúna (PB);0,219;0,398;0,558;0,054;0,223;0,459
Barra do Piraí (RJ);0,541;0,626;0,733;0,368;0,497;0,665
Barra Mansa (RJ);0,527;0,641;0,729;0,324;0,504;0,657
Barreiras (BA);0,408;0,572;0,721;0,196;0,414;0,668
Belém (PA);0,562;0,644;0,746;0,371;0,504;0,673
Belo Horizonte (MG);0,602;0,726;0,81;0,406;0,617;0,737
Benjamin Constant (AM);0,3;0,389;0,574;0,107;0,188;0,471
Betânia (PE);0,276;0,409;0,559;0,105;0,241;0,441
Bezerros (PE);0,338;0,458;0,606;0,154;0,278;0,487
Boa Esperança (ES);0,416;0,564;0,679;0,207;0,408;0,59
Bocaina (PI);0,34;0,483;0,632;0,162;0,301;0,532
Bom Jesus (PI);0,376;0,486;0,668;0,163;0,289;0,562
Bom Princípio do Piauí (PI);0,2;0,345;0,532;0,043;0,143;0,372
Bragança (PA);0,325;0,458;0,6;0,13;0,278;0,486
Brasília (DF);0,616;0,725;0,824;0,419;0,582;0,742
Brejão (PE);0,287;0,364;0,547;0,124;0,18;0,417
Buriti dos Lopes (PI);0,227;0,382;0,565;0,062;0,199;0,452
Cacaulândia (RO);0,283;0,454;0,646;0,079;0,206;0,506
Caetés (PE);0,241;0,336;0,522;0,07;0,148;0,392
Caiapônia (GO);0,442;0,562;0,693;0,206;0,367;0,588
Caiçara (RS);0,471;0,612;0,699;0,248;0,454;0,58
Campo Grande (MS);0,563;0,673;0,784;0,354;0,548;0,724
Cândido Sales (BA);0,236;0,423;0,601;0,051;0,212;0,482
Canguçu (RS);0,381;0,516;0,65;0,144;0,294;0,491
Carauari (AM);0,268;0,344;0,549;0,071;0,134;0,416
Caririaçu (CE);0,245;0,392;0,578;0,08;0,222;0,483
Caruaru (PE);0,481;0,558;0,677;0,281;0,387;0,569
Castanhal (PA);0,424;0,55;0,673;0,207;0,372;0,582
Catalão (GO);0,533;0,662;0,766;0,341;0,519;0,715
Cidelândia (MA);0,286;0,414;0,6;0,099;0,242;0,529
Coari (AM);0,312;0,389;0,586;0,105;0,174;0,425
Codajás (AM);0,355;0,44;0,563;0,147;0,237;0,421
Coité do Nóia (AL);0,235;0,354;0,533;0,06;0,158;0,398
Conceição do Almeida (BA);0,356;0,482;0,606;0,173;0,331;0,479
Crato (CE);0,444;0,577;0,713;0,267;0,449;0,673
Cristal do Sul (RS);0,315;0,516;0,66;0,124;0,362;0,542
Cristópolis (BA);0,282;0,427;0,614;0,087;0,252;0,553
Cruz das Almas (BA);0,451;0,574;0,699;0,275;0,452;0,65
Cruzeiro do Sul (AC);0,398;0,51;0,664;0,188;0,327;0,582
